#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
#
# FACTION MAIN
#
CB_NAME_OVERTHROWRULER;Overthrow Ruler;Renverser le Suzerain;Herrscher stürzen;;Gobernante derrocado;;;;;;;;;x
EVTOPTA_PlusFaction_304;I will strengthen my position within the faction;;;;Fortaleceré mi posicion dentro de la faccion;;;;;;;;;x
EVTOPTB_PlusFaction_304;I plan to rally support for [Root.Liege.GetTitledFirstName];;;;Planeo conseguir apoyo para [Root.Liege.GetTitledFirstName];;;;;;;;;x
EVTOPTC_PlusFaction_304;I will stir discontent towards [Root.Liege.GetTitledFirstName];;;;Sembrare el descontento hacia [Root.Liege.GetTitledFirstName];;;;;;;;;x
EVTOPTD_PlusFaction_304;I have no particular agenda in mind;;;;No tengo ninguna agenda en mente;;;;;;;;;x
EVTOPTE_PlusFaction_304;[Root.Liege.GetTitledFirstName] must step down or be overthrown!;;;;¡[Root.Liege.GetTitledFirstName] debe abdicar or ser derrocado!;;;;;;;;;x
EVTOPTF_PlusFaction_304;[Root.Liege.GetTitledFirstName] will give us what we want or face civil war!;;;;¡[Root.Liege.GetTitledFirstName] nos dará lo que queremos o se enfrentará en una Guerra Civil!;;;;;;;;;x
EVTOPTG_PlusFaction_304;I will urge them to reconcile with [Root.Liege.GetTitledFirstName];;;;Les instaré a reconciliarse con [Root.Liege.GetTitledFirstName];;;;;;;;;x
EVTOPTH_PlusFaction_304;Let us discuss our complaints in detail;;;;Discutamos nuestras quejas en detalle;;;;;;;;;x
EVTOPTI_PlusFaction_304;We are not yet strong enough to act;;;;Todavia no somos lo suficientemente fuertes para actuar;;;;;;;;;x
EVTOPTJ_PlusFaction_304;Now is not the time for us to make our move;;;;No es un buen momento para actuar;;;;;;;;;x
EVTDESC_PlusFaction_305A;While the members of our faction were angry and eager to take action against [From.Liege.GetTitledFirstName], [From.GetTitledFirstName] urged us to consider the current war. We must all act to protect [From.Liege.PrimaryTitle.GetName] now, and reconvene another time to consider our options.;;;;Aunque los miembros de nuestra faccion estaban enfadados y ansiosos de actuar contra [From.Liege.GetTitledFirstName], [From.GetTitledFirstName] nos instó a considerar la guerra actual. Deberiamos proteger [From.Liege.PrimaryTitle.GetName] ahora, y volver a convocarnos cuando la situacion sea menos fragil.;;;;;;;;;x
EVTDESC_PlusFaction_305B;While the members of our faction were angry and eager to take action against [From.Liege.GetTitledFirstName], [From.GetTitledFirstName] maintained that we were not in a position to move against [From.Liege.GetHerHim] just yet. And thus nothing can be done until another meeting is held.;;;;While the members of our faction were angry and eager to take action against [From.Liege.GetTitledFirstName], [From.GetTitledFirstName] Aunque los miembros de nuestra faccion estaban enfadados y ansiosos de actuar contra [From.Liege.GetTitledFirstName], [From.GetTitledFirstName] sostuvo que no estamos en posicion de actuar contra [From.Liege.GetElElla] todavia. Y no se puede hacer nada hasta que tengamos otra reunion.;;;;;;;;;x
EVTDESC_PlusFaction_305C;[From.GetTitledFirstName] has contacted the rest of the faction to inform us that [From.Liege.GetTitledFirstName] has refused our demand. Despite this, [From.GetTitledFirstName] does not believe we are in a position to go to war, and has decided to let the matter drop for now.;;;;[From.GetTitledFirstName] ha contactado al resto de la faccion para informarnos que [From.Liege.GetTitledFirstName] ha rechazado nuestra peticion. A pesar de esto, [From.GetTitledFirstName] no cree que estemos preparados para ir a la guerra, y ha decidido dejarlo pasar por ahora.;;;;;;;;;x
EVTOPTA_PlusFaction_305;Fair enough;;;;Está bien;;;;;;;;;x
EVTOPTB_PlusFaction_305;I trust [From.GetTitledFirstName]'s judgment;;;;Confio en el buen juicio de [From.GetTitledFirstName];;;;;;;;;x
EVTOPTC_PlusFaction_305;Nothing? This is an outrage!;;;;¿Como? ¡Esto es indignante!;;;;;;;;;x
EVTDESC_PlusFaction_306;While [From.GetTitledFirstName] called the faction together, it ultimately turned out to be nothing more than a social occasion with little of importance to discuss. A few of those present expressed frustration at the pointlessness of the entire affair.;;;;Aunque [From.GetTitledFirstName] ha convocado a la faccion, ha acabado siendo una reunion social sin mayor importancia. Algunos de los presentes expresaron su frustración por la inutilidad de todo el asunto.;;;;;;;;;x
EVTOPTA_PlusFaction_306;I don't mind, to be honest;;;;Sinceramente, me da igual;;;;;;;;;x
EVTOPTB_PlusFaction_306;I happen to agree with them;;;;Lo cierto es que estoy de acuerdo con ellos;;;;;;;;;x
EVTDESC_PlusFaction_307A;After postponing the faction meeting one too many times, [From.GetTitledFirstName] was forced to step down as leader of the Court Faction.;;;;Tras posponer la reunion de la Faccion demasiadas veces, [From.GetTitledFirstName] ha sido destituido como lider de la Faccion de la Corte.;;;;;;;;;x
EVTDESC_PlusFaction_307B;After postponing the faction meeting one too many times, [From.GetTitledFirstName] was forced to step down as leader of the Prosperity Faction.;;;;Tras posponer la reunion de la Faccion demasiadas veces, [From.GetTitledFirstName] ha sido destituido como lider de la Faccion de la Prosperidad.;;;;;;;;;x
EVTDESC_PlusFaction_307C;After postponing the faction meeting one too many times, [From.GetTitledFirstName] was forced to step down as leader of the Glory Faction.;;;;Tras posponer la reunion de la Faccion demasiadas veces, [From.GetTitledFirstName] ha sido destituido como lider de la Faccion de la Gloria.;;;;;;;;;x
EVTDESC_PlusFaction_307D;After postponing the faction meeting one too many times, [From.GetTitledFirstName] was forced to step down as leader of the Tradition Faction.;;;;Tras posponer la reunion de la Faccion demasiadas veces, [From.GetTitledFirstName] ha sido destituido como lider de la Faccion de la Tradicion.;;;;;;;;;x
EVTDESC_PlusFaction_308;For obvious reasons, our faction meeting will have to be postponed.\n\nSincerely,\n[From.GetTitledName];;;;Por motivos obvios, la reunion de nuestra faccion tendra que ser pospuesta.\n\nUn Cordial Saludo,\n[From.GetTitledName];;;;;;;;;x
EVTDESC_PlusFaction_310;I have decided that this meeting is best spent promoting the interests of my most important ally - myself. How will I proceed?;J'ai décidé que je passeroi cette réunion à promouvoir les intérests de mon allié le plus important - moi-mesme. Comment vois-je procéder ?;;;He decidido que esta reunion será mejor usarla para promover los intereses de mi mejor aliado - yo mismo. ¿Como debo hacerlo?;;;;;;;;;;x
EVTOPTA_PlusFaction_310;Hold a self-congratulatory speech;Tenir un discours d'auto-congratulation;;;Dar un discurso autocomplaciente;;;;;;;;;x
EVTOPTB_PlusFaction_310;Ask the faction for 'membership dues';Demander des cotisations aux membres;;;Solicitar a los miembros las 'Cuotas de Afiliacion';;;;;;;;;x
EVTDESC_PlusFaction_311_Great;With a steady voice and eloquent rhetoric, you deliver what is perhaps the greatest speech of your life. Praising your friends, denouncing your enemies and subtly reinforcing your virtues, you soon have the whole faction on their feet, applauding and shouting your name.;Avec une voix assurée et une rhétorique éloquente, vous donnez ce qui est peult-estre le plus grand discours de votre vie. Louant vos amis, accusant vos ennemis et soulignant subtilement vos vertus, la faction entière est bientost à vos pieds, applaudissant et criant votre nom.;;;Con una voz firme y una elocuente retorica, das lo que podria ser el mejor discurso de tu vida. Alabando a tus amigos, acusando a tus enemigos y sutilmente agrandando tus virtudes, pronto tienes a la faccion entera comiendo de tu mano, aplaudiendo y gritando tu nombre.;;;;;;;;;x
EVTDESC_PlusFaction_311_Good;Speaking to the assembled Lords, you manage to win over most of the audience with your skillful rhetoric and even elicit some applause and cheering at the end.;En parlant aux Seigneurs réunis avec une rhétorique maitrisée, vous réussissez à rallier à votre cause la majeure partie de l'audience,et mesme à susciter quelques acclamations et applaudissements à la fin.;;;Hablando con los Señores reunidos, logras ganarte a la mayoría de la audiencia con tu hábil retórica e incluso provocas algunos aplausos y vítores al final.;;;;;;;;;x
EVTDESC_PlusFaction_311_Fair;Stumbling on a word here and there, you nonetheless manage to deliver a more or less coherent speech to the assembled Lords. The applause is merely polite, but at least nobody is heckling you.;Trébuchant sur quelques mots, vous réussissez néamoins à donner un discours plus ou moins cohérent aux Seigneurs réunis. Des applaudissements polis résonnent, mais au moins personne ne vous siffle.;;;Tropezando con una palabra aquí y allá, sin embargo, logras pronunciar un discurso más o menos coherente a los Señores reunidos. Los aplausos son meramente educados, pero al menos nadie está molesto.;;;;;;;;;x
EVTDESC_PlusFaction_311_Poor;Your attempts to win over the assembled Lords with your rhetoric falls on deaf ears. You stumble on phrasing, mispronounce words and forget the name of an important noble in the room. What little applause you get at the end is muted by jeers, but at least nobody is laughing.;Vos efforts rhétoriques pour rassembler les Seigneurs réunis à votre cause tombent dans l'oreille d'un sourd. Vous bégayez, écorchez des mots et oubliez le nom d'un noble important.Les quelques applaudissements sont étouffés par les huées, mais au moins personne ne rit.;;;Tus intentos de ganarte a los Señores reunidos con tu retórica caen en oídos sordos. Te tropiezas con las frases, pronuncias mal las palabras y se te olvida el nombre de un noble importante en la sala. Los pocos aplausos que recibes al final son acallados por las burlas, pero al menos nadie se ríe.;;;;;;;;;x
EVTDESC_PlusFaction_311_Terrible;Mere seconds after you begin to speak to the assembled Lords, you know that things are about to go badly. What follows are several long minutes of humiliation as you struggle your way through what you intended to be an inspiring speech. In the end, you are laughed out of the room and unceremoniously removed from leadership.;Quelques secondes après avoir commencé à parler aux Seigneurs réunis, vous savez que les choses vont mal se passer. Ce qui suit sont plusieurs longues minutes d'humiliation alors que vous peinez à donner ce qui auroit du estre un discours inspirant. A la fin, les rires vous chassent de la pièce et votre position de meneur vous est retirée sans cérémonie.;;;Unos segundos después de que comiences a hablar con los Señores reunidos, sabes que las cosas están a punto de ir mal. Lo que sigue son varios minutos largos de humillación mientras luchas a través de lo que pretendías que fuera un discurso inspirador. Al final, se ríen de ti mientras abandonas la sala sin ceremonias oficiosas.;;;;;;;;;x
EVTOPTA_PlusFaction_311;They will surely support me now!;Ils vont susrement me soutenir maintenant !;;;¡Seguro que ahora me apoyan!;;;;;;;;;x
EVTOPTB_PlusFaction_311;I have gained new allies;J'ai gagné de nouveaux alliés.;;;He ganado nuevos aliados;;;;;;;;;x
EVTOPTC_PlusFaction_311;At least I did a little good;Au moins, j'ai fait quelques bonnes choses;;;Al menos lo hice bien;;;;;;;;;x
EVTOPTD_PlusFaction_311;I suppose it wasn't a complete disaster;J'imagine que ce n'estoit point un désastre complet;;;Supongo que no fue un completo desastre;;;;;;;;;x
EVTOPTE_PlusFaction_311;How could this have happened to me?!;Comment cela a-t-il pu m'arriver ?;;;¡¿Como pudo ocurrime esto?!;;;;;;;;;x
EVTDESC_PlusFaction_312_Great;With a steady voice and eloquent rhetoric, [From.GetBestName] delivers an inspiring speech to the assembled Lords. By the end of it you are on your feet, applauding and shouting [From.GetHerHis] name.;Avec une voix assurée et une rhétorique éloquente, [From.GetBestName] donne un discours inspirant aux Seigneurs réunis. A la fin du discours vous estes debout, applaudissant et criant le nom de  [From.GetBestName].;;;Con una voz firme y una elocuente retorica, [From.GetBestName] da lo que podria ser el mejor discurso de su vida. Alabando a sus amigos, acusando a sus enemigos y sutilmente agrandando sus virtudes, pronto tiene a la faccion entera comiendo de su mano, aplaudiendo y gritando su nombre.;;;;;;;;;x
EVTDESC_PlusFaction_312_Good;Speaking to the assembled Lords, [From.GetBestName] manages to win over the audience with [From.GetHerHis] skillful rhetoric and even elicit some applause and cheering at the end.;En parlant aux Seigneurs réunis avec une rhétorique maitrisée, [From.GetBestName] réussit à rallier à [From.GetHerHis] cause la majeure partie de l'audience,et mesme à susciter quelques acclamations et applaudissements à la fin.;;;Hablando con los Señores reunidos, [From.GetBestName] logra ganarse a la mayoría de la audiencia con su hábil retórica e incluso provoca algunos aplausos y vítores al final.;;;;;;;;;x
EVTDESC_PlusFaction_312_Fair;Stumbling on a word here and there, [From.GetBestName] manages to deliver a more or less coherent speech to the assembled Lords. The applause is merely polite, but [From.GetSheHe] has at least shown some leadership.;Trébuchant sur quelques mots,[From.GetBestName]  réussit néamoins à donner un discours plus ou moins cohérent aux Seigneurs réunis. Des applaudissements polis résonnent, mais au moins [From.GetSheHe] a fait quelque preuve de ses capacités de meneur.;;;Tropezando con una palabra aquí y allá, sin embargo, [From.GetBestName] logra pronunciar un discurso más o menos coherente a los Señores reunidos. Los aplausos son meramente educados, pero al menos nadie está molesto.;;;;;;;;;x
EVTDESC_PlusFaction_312_Poor;[From.GetBestName]'s attempts to win over the assembled Lords with rhetoric falls on deaf ears. [From.GetSheHeCap] stumbles on phrasing, mispronounces words and forgets the name of an important noble in the room. What little applause there is at the end is muted by the jeers.;Les efforts rhétoriques de [From.GetBestName] pour rassembler les Seigneurs réunis à [From.GetHerHis] cause tombent dans l'oreille d'un sourd. [From.GetSheHeCap] bégaye, écorche des mots et oublie le nom d'un noble important.Les quelques applaudissements sont étouffés par les huées.;;;Los intentos de [From.GetBestName] de ganarse a los Señores reunidos con su retórica caen en oídos sordos. Se tropieza con las frases, pronuncia mal las palabras y se le olvida el nombre de un noble importante en la sala. Los pocos aplausos que recibe al final son acallados por las burlas, pero al menos nadie se ríe.;;;;;;;;;x
EVTDESC_PlusFaction_312_Terrible;Mere seconds after [From.GetBestName] begins to speak to the assembled Lords, you know that things are about to go badly. What follows is the worst speech you have been forced to listen to in your life, and the only thing louder than the jeers is the laughter. In the end, the whole faction agrees to remove [From.GetFirstName] from leadership.;Quelques secondes après que [From.GetBestName] commence à parler aux Seigneurs réunis, vous savez que les choses vont mal se passer. Ce qui suit est le pire discours que vous ayez été forcé d'ouïr durant votre vie, et la seule chose plus sonore que les huées sont les rires. A la fin, les membres décident unanimement de destituer [From.GetFirstName] de sa position de meneur.;;;Unos segundos después de que [From.GetBestName] comience a hablar con los Señores reunidos, sabe que las cosas están a punto de ir mal. Lo que sigue son varios minutos largos de humillación mientras lucha a través de lo que pretendía que fuera un discurso inspirador. Al final, se ríen de él mientras abandona la sala sin ceremonias oficiosas.;;;;;;;;;x
EVTOPTA_PlusFaction_312;Hail to [From.GetTitledFirstName]!;Gloire à [From.GetTitledFirstName]!;;;¡Gloria a [From.GetTitledFirstName]!;;;;;;;;;x
EVTOPTB_PlusFaction_312;Well done!;Bien joué !;;;¡Bien hecho!;;;;;;;;;x
EVTOPTC_PlusFaction_312;*yawn*;*bâillement*;;;*bostezas*;;;;;;;;;x
EVTOPTD_PlusFaction_312;Boo!;Houuu !;;;¡Buu!;;;;;;;;;x
EVTOPTE_PlusFaction_312;Get that [From.GetManWoman] out of here!;Faites-moi sortir ce [From.GetManWoman]!;;;¡Sacadle de aqui!;;;;;;;;;x
EVTDESC_PlusFaction_313A;I have decided to rally support for [Root.Liege.GetTitledFirstName] among the members of my faction, despite their hostility to the idea presenting a significant hurdle. What approach should I take in order to strengthen [Root.Liege.GetHerHis] rule?;;;;He decidido reunir apoyo para [Root.Liege.GetTitledFirstName] entre los miembros de mi faccion, a pesar de su hostilidad hacia la idea, resultando bastante complicado. ¿Qué enfoque debo tomar para fortalecer su gobierno?;;;;;;;;;x
EVTDESC_PlusFaction_313B;I have decided to rally support for [Root.Liege.GetTitledFirstName] among the members of my faction. What should I do to strengthen [Root.Liege.GetHerHis] rule?;J'ai décidé de rassembler du soutien pour [Root.Liege.GetTitledFirstName] parmi les membres de ma faction. Que devrois-je faire pour renforcer le règne de [Root.Liege.GetHerHis] ?;I have decided to rally support for [Root.Liege.GetTitledFirstName] among the members of my faction. What should I do to strengthen [Root.Liege.GetHerHis] rule?;;He decidido reunir apoyo para [Root.Liege.GetTitledFirstName] entre los miembros de mi faccion. ¿Qué enfoque debo tomar para fortalecer su gobierno?;;;;;;;;;x
EVTOPTA_PlusFaction_313;I will praise [Root.Liege.GetTitledFirstName] in a speech;;;;Alabaré a [Root.Liege.GetTitledFirstName] en un discurso;;;;;;;;;x
EVTOPTB_PlusFaction_313;I will propose financial aid to our liege;;;;Propondré ayuda financiera para nuestro señor;;;;;;;;;x
EVTOPTC_PlusFaction_313;I will suggest we provide [Root.Liege.GetTitledFirstName] a show of support;;;;Sugerire que mostremos nuestro apoyo a  [Root.Liege.GetTitledFirstName];;;;;;;;;x
EVTDESC_PlusFaction_314A;Speaking to the assembled Lords, I praised the virtues of [Root.Liege.GetTitledFirstName] and reminded my fellow vassals of our duty towards our liege. I could tell they took my words seriously, and the meeting ended with an affirmation of our loyalty to the [Root.Liege.PrimaryTitle.GetRulerTitle].;En m'adressant aux Seigneurs réunis, j'ai loué les vertus de [Root.Liege.GetTitledFirstName] et ai rappelé à mes compagnons leurs devoirs de vassaux envers leur suzerain. J'ai pu me rendre compte qu'ils prenoient mon discours au sérieulx, et la réunion s'est terminée sur une affirmation de notre loyauté envers [Root.Liege.PrimaryTitle.GetRulerTitle].;;;Hablando con los Señores reunidos, alabé las virtudes de [Root.Liege.GetTitledFirstName] y recordé a mis compañeros vasallos nuestro deber hacia nuestro señor. Estoy seguro de que se tomaron mis palabras en serio, y la reunion terminó con una afirmacion de nuestra lealtad hacia [Root.Liege.PrimaryTitle.GetRulerTitle].;;;;;;;;;x
EVTDESC_PlusFaction_314B;Speaking to the assembled Lords, I praised the virtues of [Root.Liege.GetTitledFirstName] and reminded my fellow vassals of our duty towards our liege. Though my words mostly fell on deaf ears, the show of support nonetheless eased the mood of the room a little.;En m'adressant aux Seigneurs réunis, j'ai loué les vertus de [Root.Liege.GetTitledFirstName] et ai rappelé à mes compagnons leurs devoirs de vassaux envers leur suzerain. Mesme si la plupart de mes mots sont tombés dans l'oreille d'un sourd, ce discours de soutien a néamoins amélioré quelque peu l'humeur de la faction.;;;Hablando con los Señores reunidos, alabé las virtudes de [Root.Liege.GetTitledFirstName] y recordé a mis compañeros vasallos nuestro deber hacia nuestro señor.  Aunque la mayor parte de mis palabras cayeron en oidos sordos, la muestra de apoyo mejoró los animos de la habitacion un poco.;;;;;;;;;x
EVTDESC_PlusFaction_314C;Speaking to the assembled Lords, I praised the virtues of [Root.Liege.GetTitledFirstName] and reminded my fellow vassals of our duty towards our liege. Unfortunately my words were not well received, provoking jeers and cries of dissent from the assembled audience.;En m'adressant aux Seigneurs réunis, j'ai loué les vertus de [Root.Liege.GetTitledFirstName] et ai rappelé à mes compagnons leurs devoirs de vassaux envers leur suzerain. tristeusement, mon discours n'a point été bien reçu, provoquant des huées de la part de l'audience.;;;Hablando con los Señores reunidos, alabé las virtudes de [Root.Liege.GetTitledFirstName] y recordé a mis compañeros vasallos nuestro deber hacia nuestro señor. Desgraciadamente mis palabras no fueron bien recibidas, provocando burlas y gritos de disensión de la audiencia reunida.;;;;;;;;;x
EVTOPTA_PlusFaction_314;[Root.Liege.GetTitledFirstName] can count on us!;[Root.Liege.GetTitledFirstName] peult compter sur nous !;;;¡[Root.Liege.GetTitledFirstName] puede contar con nosotros!;;;;;;;;;x
EVTOPTB_PlusFaction_314;At least I did some good;Au moins, j'ai fait quelques bonnes choses;;;Al menos lo hice bien;;;;;;;;;x
EVTOPTC_PlusFaction_314;I fear I have done more harm than good...;J'ai l'impression d'avoir fait plus de mal que de bien...;;;Me temo que he hecho mas bien que mal...;;;;;;;;;x
EVTDESC_PlusFaction_315A;Speaking to the assembled Lords, [From.GetTitledFirstName] praised the virtues of [Root.Liege.GetTitledFirstName] and spoke of our duty towards our liege. We were taken in by [From.GetHerHis] eloquent words, and the ended meeting with an affirmation of our loyalty to the [Root.Liege.PrimaryTitle.GetRulerTitle].;En s'adressant aux Seigneurs réunis, [From.GetTitledFirstName] a loué les vertus de [Root.Liege.GetTitledFirstName] et nous a rappelé à nos devoirs de vassaux envers leur suzerain. Nous avons bu son discours éloquent, et la réunion s'est terminée sur une affirmation de notre loyauté envers [Root.Liege.PrimaryTitle.GetRulerTitle].;;;Hablando con los Señores Reunidos, [From.GetTitledFirstName] alabó las virtudes de [Root.Liege.GetTitledFirstName] y habló de nuestros deberes hacia nuestro señor. Fuimos influidos por sus elocuentes palabras, y terminamos la reunion con una afirmacion de lealtad hacia [Root.Liege.PrimaryTitle.GetRulerTitle].;;;;;;;;;x
EVTDESC_PlusFaction_315B;Speaking to the assembled Lords, [From.GetTitledFirstName] praised the virtues of [Root.Liege.GetTitledFirstName] and spoke of our duty towards our liege. Though [From.GetHerHis] words mostly fell on deaf ears, the show of support nonetheless eased the mood of the room a little.;En s'adressant aux Seigneurs réunis, [From.GetTitledFirstName] a loué les vertus de [Root.Liege.GetTitledFirstName] et nous a rappelé à nos devoirs de vassaux envers leur suzerain. Mesme si la plupart de ses mots sont tombés dans l'oreille d'un sourd, ce discours de soutien a néamoins amélioré quelque peu l'humeur de la faction.;;;Hablando con los Señores Reunidos, [From.GetTitledFirstName] alabó las virtudes de [Root.Liege.GetTitledFirstName] y habló de nuestros deberes hacia nuestro señor. Aunque la mayor parte de sus palabras cayeron en oidos sordos, la muestra de apoyo mejoró la opinion de la habitacion un poco.;;;;;;;;;x
EVTDESC_PlusFaction_315C;Speaking to the assembled Lords, [From.GetTitledFirstName] praised the virtues of [Root.Liege.GetTitledFirstName] and spoke of our duty towards our liege. However, [From.GetHerHis] weak and sycophantic arguments failed to capture the audience, and if anything managed to turn the room against the [Root.Liege.PrimaryTitle.GetRulerTitle].;En s'adressant aux Seigneurs réunis, [From.GetTitledFirstName] a loué les vertus de [Root.Liege.GetTitledFirstName] et nous a rappelé à nos devoirs de vassaux envers leur suzerain. tristeusement, ses arguments faibles et sycophantiques n'ont point réussi à captiver l'audience, tournant mesme une partie de la salle contre [Root.Liege.PrimaryTitle.GetRulerTitle].;;;Hablando con los Señores Reunidos, [From.GetTitledFirstName] alabó las virtudes de [Root.Liege.GetTitledFirstName] y habló de nuestros deberes hacia nuestro señor. Sin embargo, sus pobres argumentos fracasaron en convencer a la audiencia, y si acaso consiguio mas bien volver a la habitacion en contra de [Root.Liege.PrimaryTitle.GetRulerTitle].;;;;;;;;;x
EVTDESC_PlusFaction_316A;I have learned that [From.GetTitledFirstName] spoke [From.GetHerHis] support for me at the faction meeting in [From.Capital.GetName], greatly improving the mood of [From.GetHerHis] faction.;J'ai appris que [From.GetTitledFirstName] a tenu un discours de soutien envers moi à la réunion de sa faction à [From.Capital.GetName], améliorant l'humeur de [From.GetHerHis] faction.;;;He sabido que [From.GetTitledFirstName] mostró su apoyo por mi en la reunion de la faccion en [From.Capital.GetName], mejorando mucho el estado de animo de su faccion.;;;;;;;;;x
EVTDESC_PlusFaction_316B;I have learned that [From.GetTitledFirstName] spoke [From.GetHerHis] support for me at the faction meeting in [From.Capital.GetName], slightly improving the mood of [From.GetHerHis] faction.;J'ai appris que [From.GetTitledFirstName] a tenu un discours de soutien envers moi à la réunion de sa faction à [From.Capital.GetName], améliorant quelque peu l'humeur de [From.GetHerHis] faction.;;;He sabido que [From.GetTitledFirstName] mostró su apoyo por mi en la reunion de la faccion en [From.Capital.GetName], mejorando ligeramente el estado de animo de su faccion.;;;;;;;;;x
EVTDESC_PlusFaction_316C;I have learned that [From.GetTitledFirstName] attempted to speak on my behalf at the faction meeting in [From.Capital.GetName], but only managed to turn [From.GetHerHis] faction further against me.;;;;He sabido que [From.GetTitledFirstName] ha tratado de hablar en mi favor durante la reunion de la faccion en [From.Capital.GetName], pero solo logró volver a la faccion en mi contra.;;;;;;;;;x
EVTDESC_PlusFaction_317A;I have decided to undermine [Root.Liege.GetTitledFirstName]'s standing amongst the members of my faction--not a terribly difficult feat, considering that there is already so much sentiment against [Root.Liege.GetHerHim].;;;;He decidido menoscabar la posicion de [Root.Liege.GetTitledFirstName] entre los miembros de mi faccion--no es una hazaña terriblemente difícil, considerando que ya hay tanto sentimiento contra [Root.Liege.GetElElla].;;;;;;;;;x
EVTDESC_PlusFaction_317B;I have decided to undermine [Root.Liege.GetTitledFirstName]'s standing amongst the members of my faction--a tall order, perhaps, considering how many favor [Root.Liege.GetHerHim] and might consider my words treasonous.;;;;He decidido menoscabar la posicion de [Root.Liege.GetTitledFirstName] entre los miembros de mi faccion--una tarea difícil, tal vez, considerando cuántos lo favorecen y podrían considerar mis palabras como una traición.;;;;;;;;;x
EVTOPTA_PlusFaction_317;Denounce [Root.Liege.GetHerHim] before the assembled Lords;Dénoncer les fautes de [Root.Liege.GetHerHim] aux Seigneurs réunis.;;;Denounciarle ante los Señores reunidos;;;;;;;;;x
EVTDESC_PlusFaction_318A;Speaking to the assembled Lords, I denounced the misrule of [Root.Liege.GetTitledFirstName] and reminded my fellow vassals of how our rights and liberties were being taken away. I could tell they took my words seriously, and the meeting ended with agreement that we must find a way to reduce the power of the [Root.Liege.PrimaryTitle.GetRulerTitle].;En m'adressant aux Seigneurs réunis, j'ai accusé [Root.Liege.GetTitledFirstName] d'incompétence et ai rappelé à mes compagnons nos droits et nos libertés qui nous étaient enlevés. J'ai pu me rendre compte qu'il prenait mon discours au sérieulx, et la réunion s'est terminée sur l'accord général que nous devons trouver un moyen de réduire le pouvoir de [Root.Liege.PrimaryTitle.GetRulerTitle].;;;Hablando con los Señores reunidos, he denunciado el desgobierno de [Root.Liege.GetTitledFirstName] y he recordado a mis compañeros vasallos como nuestros derechos y libertades estan siendo arrebatados. Me di cuenta de que se tomaron en serio mis palabras y la reunión terminó con el acuerdo de que debemos encontrar una manera de reducir el poder de [Root.Liege.PrimaryTitle.GetRulerTitle].;;;;;;;;;x
EVTDESC_PlusFaction_318B;Speaking to the assembled Lords, I denounced the misrule of [Root.Liege.GetTitledFirstName] and reminded my fellow vassals of how our rights and liberties were being taken away. Though my words mostly fell on deaf ears, such open dissent nonetheless soured the mood of the room a little.;En m'adressant aux Seigneurs réunis, j'ai accusé [Root.Liege.GetTitledFirstName] d'incompétence et ai rappelé à mes compagnons nos droits et nos libertés qui nous étaient enlevés. Mesme si la plupart de mes mots sont tombés dans l'oreille d'un sourd, une accusation aussi directe a quelque peu semé le ressentiment dans la salle.;;;Hablando con los Señores reunidos, he denunciado el desgobierno de [Root.Liege.GetTitledFirstName] y he recordado a mis compañeros vasallos como nuestros derechos y libertades estan siendo arrebatados. Aunque mis palabras cayeron mayormente en oídos sordos, la disidencia abierta sin embargo agrió un poco el ambiente de la habitación.;;;;;;;;;x
EVTDESC_PlusFaction_318C;Speaking to the assembled Lords, I denounced the misrule of [Root.Liege.GetTitledFirstName] and reminded my fellow vassals of how our rights and liberties were being taken away. Unfortunately, it seems many took offense at my words and suggested I went too far, and [Root.Liege.GetTitledFirstName] gained sympathy as a result.;;;Hablando con los Señores reunidos, he denunciado el desgobierno de [Root.Liege.GetTitledFirstName] y he recordado a mis compañeros vasallos como nuestros derechos y libertades estan siendo arrebatados. Desafortunadamente, parece que muchos se sintieron ofendidos por mis palabras y sugirieron que fui demasiado lejos, y como resultado, [Root.Liege.GetTitledFirstName] ganó simpatía.;;;;;;;;;;x
EVTOPTA_PlusFaction_318;They are wise to listen to my warnings;Ils sont sages d'écouter mes avertissements;;;Son sabios en escuchar mis advertencias;;;;;;;;;x
EVTOPTB_PlusFaction_318;Harsh truths are hard to accept;Les tristes vérités sont dures à accepter;;;Las duras verdades son difíciles de aceptar;;;;;;;;;x
EVTOPTC_PlusFaction_318;I only managed to make them more loyal...;Je n'ai réussi qu'à les rendre plus loyaux...;;;Solo logré hacerlos más leales...;;;;;;;;;x
