# -*- ck2.landed_titles -*-

# HOLY ORDERS
d_knights_templar = { # Knights Templar
	color = { 230 230 230 }
				#	norman = "Esledes"
				#}
				#b_eynsford = {
				#	norwegian = "Egenes homme"
				#	danish = "Egenes homme"
				#	swedish = "Egenes homme"
				#	anglonorse = "Egenes homme"
				#	gothic = "Egenes homme"
				#	norse = "Egenes homme"
				#	norsegaelic = "Egenes homme"
				#	icelandic = "Egenes homme"
				#	saxon = "Egenes homme"
				#}
				#b_chilham = {}
				#b_cooling = {}
				#b_whitstable = {
				#	norwegian = "Witenestaple"
				#	danish = "Witenestaple"
				#	swedish = "Witenestaple"
				#	anglonorse = "Witenestaple"
				#	gothic = "Witenestaple"
				#	norse = "Witenestaple"
				#	norsegaelic = "Witenestaple"
				#	icelandic = "Witenestaple"
				#	saxon = "Witenestaple"
				#	norman = "Witenestaple"
				#}
				#b_gillingham = {
				#	norwegian = "Gyllingeham"
				#	danish = "Gyllingeham"
				#	swedish = "Gyllingeham"
				#	anglonorse = "Gyllingeham"
				#	gothic = "Gyllingeham"
				#	norse = "Gyllingeham"
				#	norsegaelic = "Gyllingeham"
				#	icelandic = "Gyllingeham"
				#	saxon = "Gyllingeham"
				#}
			} # end c_kent
			c_surrey = { # Surrey (24)
				color = { 241 105 55 }
				color2 = { 255 255 255 }
				norwegian = "Suðríki"
				danish = "Suðríki"
				swedish = "Suðríki"
				anglonorse = "Suthrige"
				gothic = "Suðríki"
				norse = "Suðríki"
				norsegaelic = "Suðríki"
				icelandic = "Suðríki"
				saxon = "Suthrige"
				b_southwark = {
					norwegian = "Suthriganaweorc"
					danish = "Suthriganaweorc"
					swedish = "Suthriganaweorc"
					anglonorse = "Suthriganaweorc"
					gothic = "Suthriganaweorc"
					norse = "Suthriganaweorc"
					norsegaelic = "Suthriganaweorc"
					icelandic = "Suthriganaweorc"
					saxon = "Suthriganaweorc"
					norman = "Sudweca"
				}
				b_guildford = {
					norwegian = "Geldeford"
					danish = "Geldeford"
					swedish = "Geldeford"
					anglonorse = "Gildaforda"
					gothic = "Geldeford"
					norse = "Geldeford"
					norsegaelic = "Geldeford"
					icelandic = "Geldeford"
					saxon = "Gildaforda"
					norman = "Gildeford"
				}
				b_farnham = {
					norwegian = "Fearnhamme"
					danish = "Fearnhamme"
					swedish = "Fearnhamme"
					anglonorse = "Fearnhamme"
					gothic = "Fearnhamme"
					norse = "Fearnhamme"
					norsegaelic = "Fearnhamme"
					icelandic = "Fearnhamme"
					saxon = "Fearnhamme"
					norman = "Ferneham"
				}
				b_lambeth = {
					norwegian = "Lambehitha"
					danish = "Lambehitha"
					swedish = "Lambehitha"
					anglonorse = "Lambehitha"
					gothic = "Lambehitha"
					norse = "Lambehitha"
					norsegaelic = "Lambehitha"
					icelandic = "Lambehitha"
					saxon = "Lambehitha"
				}
				#b_reigate = { norman = "Cherchefelle" }
				#b_woking = {
				#	norwegian = "Wochingas"
				#	danish = "Wochingas"
				#	swedish = "Wochingas"
				#	anglonorse = "Wochingas"
				#	gothic = "Wochingas"
				#	norse = "Wochingas"
				#	norsegaelic = "Wochingas"
				#	icelandic = "Wochingas"
				#	saxon = "Wochingas"
				#	norman = "Wochinges"
				#}
				#b_chertsey = {
				#	norwegian = "Cerotesege"
				#	danish = "Cerotesege"
				#	swedish = "Cerotesege"
				#	anglonorse = "Cerotesege"
				#	gothic = "Cerotesege"
				#	norse = "Cerotesege"
				#	norsegaelic = "Cerotesege"
				#	icelandic = "Cerotesege"
				#	saxon = "Cerotesege"
				#	norman = "Certesi"
				#}
				#b_waverley = {}
				#b_croydon = {
				#	norwegian = "Crogdaene"
				#	danish = "Crogdaene"
				#	swedish = "Crogdaene"
				#	anglonorse = "Crogdaene"
				#	gothic = "Crogdaene"
				#	norse = "Crogdaene"
				#	norsegaelic = "Crogdaene"
				#	icelandic = "Crogdaene"
				#	saxon = "Crogdaene"
				#	norman = "Croindene"
				#}
				#b_dorking = {
				#	norwegian = "Dorchinges"
				#	danish = "Dorchinges"
				#	swedish = "Dorchinges"
				#	anglonorse = "Dorchinges"
				#	gothic = "Dorchinges"
				#	norse = "Dorchinges"
				#	norsegaelic = "Dorchinges"
				#	icelandic = "Dorchinges"
				#	saxon = "Dorchinges"
				#	norman = "Dorchinges"
				#}
			} # end c_surrey
			c_sussex = { # Sussex (25)
				color = { 241 110 60 }
				color2 = { 255 255 255 }
				norwegian = "Suðseaxe"
				danish = "Suðseaxe"
				swedish = "Suðseaxe"
				anglonorse = "Suthseaxe"
				gothic = "Suðseaxe"
				norse = "Suðseaxe"
				norsegaelic = "Suðseaxe"
				icelandic = "Suðseaxe"
				saxon = "Suthseaxe"
				welsh = "Rhegin"
				cornish = "Rhegin"
				breton = "Rhegin"
				irish = "Rhegin"
				scottish = "Rhegin"
				b_pevensey = {
					saxon = "Pefensea"
					anglonorse = "Pefensea"
				}
				b_lewes = {
					saxon = "Hlaewas"
					anglonorse = "Hlaewas"
				}
				b_arundel = {
					saxon = "Earndæl"
					anglonorse = "Earndæl"
				}
				b_chichester = {
					norwegian = "Cissceaster"
					danish = "Cissceaster"
					swedish = "Cissceaster"
					anglonorse = "Cissaceaster"
					gothic = "Cissceaster"
					norse = "Cissceaster"
					norsegaelic = "Cissceaster"
					icelandic = "Cissceaster"
					saxon = "Cissaceaster"
				}
				b_selsey = {
					norwegian = "Seoles"
					danish = "Seoles"
					swedish = "Seoles"
					anglonorse = "Sealseg"
					gothic = "Seoles"
					norse = "Seoles"
					norsegaelic = "Seoles"
					icelandic = "Seoles"
					saxon = "Sealseg"
					norman = "Seleisi"
				}
				#b_hastings = {
				#	norwegian = "Hæstingaceaster"
				#	danish = "Hæstingaceaster"
				#	swedish = "Hæstingaceaster"
				#	anglonorse = "Hæstingaceaster"
				#	gothic = "Hæstingaceaster"
				#	norse = "Hæstingaceaster"
				#	norsegaelic = "Hæstingaceaster"
				#	icelandic = "Hæstingaceaster"
				#	saxon = "Hæstingas"
				#}
				#b_bramber = {}
				#b_bodiam = {}
				#b_rye = {}
				#b_winchelsea = {}
				#b_worthing = {
				#	norwegian = "Weoroingas"
				#	danish = "Weoroingas"
				#	swedish = "Weoroingas"
				#	anglonorse = "Weoroingas"
				#	gothic = "Weoroingas"
				#	norse = "Weoroingas"
				#	norsegaelic = "Weoroingas"
				#	icelandic = "Weoroingas"
				#	saxon = "Weoroingas"
				#	norman = "Ordinges"
				#}
			} # end c_sussex
		} # end d_canterbury
		d_cornwall = { # Cornwall
			color = { 76 97 85 }
			color2 = { 255 255 255 }
			capital = 31 # Cornwall
			norwegian = "Cornweal"
			danish = "Cornweal"
			swedish = "Cornweal"
			anglonorse = "Cornwealh"
			gothic = "Cornweal"
			norse = "Cornweal"
			norsegaelic = "Cornweal"
			icelandic = "Cornweal"
			saxon = "Cornwealh"
			welsh = "Dumnonia"
			cumbric = "Dumnonia"
			cornish = "Dumnonia"
			breton = "Dumnonia"
			irish = "Dumnonia"
			scottish = "Dumnonia"
			c_cornwall = { # Cornwall (31)
				color = { 250 20 15 }
				color2 = { 255 255 255 }
				norwegian = "Cornweal"
				danish = "Cornweal"
				swedish = "Cornweal"
				anglonorse = "Cornwealh"
				gothic = "Cornweal"
				norse = "Cornweal"
				norsegaelic = "Cornweal"
				icelandic = "Cornweal"
				saxon = "Cornwealh"
				welsh = "Cernyw"
				cumbric = "Cernyw"
				breton = "Kernow"
				cornish = "Kernow"
				irish = "Kernow"
				scottish = "Kernow"
				b_tintagel = {
					welsh = "Dintagel"
					cumbric = "Dintagel"
					breton = "Dintagel"
					cornish = "Dintagel"
					irish = "Dintagel"
					scottish = "Dintagel"
				}
				b_bodmin = {
					norman = "Botmenei"
					welsh = "Bosvenegh"
					cumbric = "Bosvenegh"
					breton = "Bosvena"
					cornish = "Bosvena"
					irish = "Bosvena"
					scottish = "Bosvena"
				}
				b_launceston = {
					norwegian = "Dünhaefod"
					danish = "Dünhaefod"
					swedish = "Dünhaefod"
					anglonorse = "Dunhaefod"
					gothic = "Dünhaefod"
					norse = "Dünhaefod"
					norsegaelic = "Dünhaefod"
					icelandic = "Dünhaefod"
					saxon = "Dunhaefod"
					welsh = "Lannstevan"
					cumbric = "Lannstevan"
					breton = "Lannstevan"
					cornish = "Lannstevan"
					irish = "Lannstevan"
					scottish = "Lannstevan"
				}
				b_restormel = {
					welsh = "Rostorrmel"
					cumbric = "Rostorrmel"
					breton = "Rostorrmel"
					cornish = "Rostorrmel"
					irish = "Rostorrmel"
					scottish = "Rostorrmel"
				}
				#b_stgermains = {
				#	welsh = "Lannales"
				#	cumbric = "Lannales"
				#	breton = "Lannaled"
				#	cornish = "Lannaled"
				#	irish = "Lannaled"
				#	scottish = "Lannaled"
				#}
				#b_lostwithiel = {
				#	welsh = "Lostwydhyel"
				#	cumbric = "Lostwydhyel"
				#	breton = "Lostwydhyel"
				#	cornish = "Lostwydhyel"
				#	irish = "Lostwydhyel"
				#	scottish = "Lostwydhyel"
				#}
				#b_truro = {
				#	welsh = "Truru"
				#	cumbric = "Truru"
				#	breton = "Truru"
				#	cornish = "Truru"
				#	irish = "Truru"
				#	scottish = "Truru"
				#}
				#b_liskeard = {
				#	welsh = "Lyskerrys"
				#	cumbric = "Lyskerrys"
				#	breton = "Lyskerrys"
				#	cornish = "Lyskerrys"
				#	irish = "Lyskerrys"
				#	scottish = "Lyskerrys"
				#}
				#b_st_michael = {
				#	welsh = "Karrek Loos yn Koos"
				#	cumbric = "Karrek Loos yn Koos"
				#	breton = "Karrek Loos yn Koos"
				#	cornish = "Karrek Loos yn Koos"
				#	irish = "Karrek Loos yn Koos"
				#	scottish = "Karrek Loos yn Koos"
				#}
				#b_trematon = {}
				#b_bossiney = {
				#	norman = "Botcinnii"
				#	welsh = "Boskyny"
				#	cumbric = "Boskyny"
				#	breton = "Boskyny"
				#	cornish = "Boskyny"
				#	irish = "Boskyny"
				#	scottish = "Boskyny"
				#}
				#b_cardinham = {
				#	welsh = "Kardhinan"
				#	cumbric = "Kardhinan"
				#	breton = "Kardhinan"
				#	cornish = "Kardhinan"
				#	irish = "Kardhinan"
				#	scottish = "Kardhinan"
				#}
				#b_helston = {
				#	welsh = "Hellys"
				#	breton = "Hellys"
				#	cornish = "Hellys"
				#	irish = "Hellys"
				#	scottish = "Hellys"
				#}
			} # end c_cornwall
			c_devon = { # Devon (29)
				color = { 250 30 55 }
				color2 = { 255 255 255 }
				norwegian = "Defena"
				danish = "Defena"
				swedish = "Defena"
				anglonorse = "Defena"
				gothic = "Defena"
				norse = "Defena"
				norsegaelic = "Defena"
				icelandic = "Defena"
				saxon = "Defena"
				welsh = "Dyfnaint"
				cumbric = "Dyfnaint"
				breton = "Dyfnaint"
				cornish = "Dyfnaint"
				scottish = "Dyfnaint"
				irish = "Dyfnaint"
				roman = "Isca Dumnoniorum"
				greek = "Isca Dumnoniorum"
				b_exeter = {
					norwegian = "Escanceaster"
					danish = "Escanceaster"
					swedish = "Escanceaster"
					anglonorse = "Escanceaster"
					gothic = "Escanceaster"
					norse = "Escanceaster"
					norsegaelic = "Escanceaster"
					icelandic = "Escanceaster"
					saxon = "Escanceaster"
					welsh = "Caerwysg"
					cumbric = "Caerwysg"
					breton = "Caerwysg"
					cornish = "Caerwysg"
					irish = "Caerwysg"
					scottish = "Caerwysg"
					roman = "Isca Dumnoniorum"
					greek = "Isca Dumnoniorum"
				}
				b_lydford = {
					norwegian = "Hlydanford"
					danish = "Hlydanford"
					swedish = "Hlydanford"
					anglonorse = "Hlydanforda"
					gothic = "Hlydanford"
					norse = "Hlydanford"
					norsegaelic = "Hlydanford"
					icelandic = "Hlydanford"
					saxon = "Hlydanforda"
					norman = "Lidefort"
				}
				b_totnes = {}
				b_rougemonten = {}
				b_crediton = {
					norwegian = "Cridiantun"
					danish = "Cridiantun"
					swedish = "Cridiantun"
					anglonorse = "Cridiantun"
					gothic = "Cridiantun"
					norse = "Cridiantun"
					norsegaelic = "Cridiantun"
					icelandic = "Cridiantun"
					saxon = "Cridiantun"
				}
				#b_tavistock = {
				#	norwegian = "Tæfingstoc"
				#	danish = "Tæfingstoc"
				#	swedish = "Tæfingstoc"
				#	anglonorse = "Tæfingstoc"
				#	gothic = "Tæfingstoc"
				#	norse = "Tæfingstoc"
				#	norsegaelic = "Tæfingstoc"
				#	icelandic = "Tæfingstoc"
				#	saxon = "Tæfingstoc"
				#}
				#b_buckfast = {}
				#b_dartmouth = {
				#	norwegian = "Dærentamuða"
				#	danish = "Dærentamuða"
				#	swedish = "Dærentamuða"
				#	anglonorse = "Dærentamuða"
				#	gothic = "Dærentamuða"
				#	norse = "Dærentamuða"
				#	norsegaelic = "Dærentamuða"
				#	icelandic = "Dærentamuða"
				#	saxon = "Dærentamuða"
				#}
				#b_plympton = {
				#	norwegian = "Plymentun"
				#	danish = "Plymentun"
				#	swedish = "Plymentun"
				#	anglonorse = "Plymentun"
				#	gothic = "Plymentun"
				#	norse = "Plymentun"
				#	norsegaelic = "Plymentun"
				#	icelandic = "Plymentun"
				#	saxon = "Plymentun"
				#}
				#b_lundy = {
				#	norwegian = "Lundey"
				#	danish = "Lundey"
				#	swedish = "Lundey"
				#	anglonorse = "Lundey"
				#	gothic = "Lundey"
				#	norse = "Lundey"
				#	norsegaelic = "Lundey"
				#	icelandic = "Lundey"
				#	saxon = "Lundígeoþ"
				#	welsh = "Ynys Wair"
				#	cumbric = "Ynys Wair"
				#	breton = "Enez Wair"
				#	cornish = "Enez Wair"
				#	irish = "Oileán Wair"
				#	scottish = "Oileán Wair"
				#}
				#b_okehampton = {}
				#b_axminster = {
				#	norwegian = "Aixeministra"
				#	danish = "Aixeministra"
				#	swedish = "Aixeministra"
				#	anglonorse = "Aixeministra"
				#	gothic = "Aixeministra"
				#	norse = "Aixeministra"
				#	norsegaelic = "Aixeministra"
				#	icelandic = "Aixeministra"
				#	saxon = "Aixeministra"
				#}
			} # end c_devon
		} # end d_cornwall
		d_hereford = { # Mercia
			color = { 6 42 127 }
			color2 = { 255 255 255 }
			english = "Hereford"
			norwegian = "Mierce"
			danish = "Mierce"
			swedish = "Mierce"
			anglonorse = "Mierce"
			gothic = "Mierce"
			norse = "Mierce"
			norsegaelic = "Mierce"
			icelandic = "Mierce"
			saxon = "Mierce"
			welsh = "Dobunnia"
			irish = "Dobunnia"
			breton = "Dobunnia"
			scottish = "Dobunnia"
			cornish = "Dobunnia"
			dignity = 5
			capital = 17 # Hereford
			c_gloucester = { # Gloucester (21)
				color = { 241 60 30 }
				color2 = { 255 255 255 }
				norwegian = "Gleawcester"
				danish = "Gleawcester"
				swedish = "Gleawcester"
				anglonorse = "Gleawceaster"
				gothic = "Gleawcester"
				norse = "Gleawcester"
				norsegaelic = "Gleawcester"
				icelandic = "Gleawcester"
				saxon = "Gleawceaster"
				welsh = "Caer Gloui"
				cumbric = "Caer Gloui"
				cornish = "Caer Gloui"
				breton = "Caer Gloui"
				irish = "Caer Gloui"
				scottish = "Caer Gloui"
				roman = "Glevum"
				greek = "Glevum"
				holy_site = lollard
				b_gloucester = {
					norwegian = "Gleawceaster"
					danish = "Gleawceaster"
					swedish = "Gleawceaster"
					anglonorse = "Gleawceaster"
					gothic = "Gleawceaster"
					norse = "Gleawceaster"
					norsegaelic = "Gleawceaster"
					icelandic = "Gleawceaster"
					saxon = "Gleawceaster"
					welsh = "Gaerloyw"
					cumbric = "Gaerloyw"
					cornish = "Gaerloyw"
					breton = "Gaerloyw"
					irish = "Gaerloyw"
					scottish = "Gaerloyw"
					roman = "Glevum"
					greek = "Glevon"
				}
				b_bristol = {
					norwegian = "Brycgstow"
					danish = "Brycgstow"
					swedish = "Brycgstow"
					anglonorse = "Brycgstow"
					gothic = "Brycgstow"
					norse = "Brycgstow"
					norsegaelic = "Brycgstow"
					icelandic = "Brycgstow"
					saxon = "Brycgstow"
					welsh = "Bryste"
					cumbric = "Bryste"
					cornish = "Bryste"
					breton = "Bryste"
					irish = "Bryste"
					scottish = "Bryste"
				}
				b_winchcombe = {}
				b_cirencester = {
					roman = "Corinium"
					greek = "Korinion"
					anglonorse = "Cirenceaster"
					saxon = "Cirenceaster"
				}
				b_tewkesbury = {
					saxon = "Theocesburh"
					anglonorse = "Theocesburh"
				}
				#b_hailes = {}
				#b_sudeley = {}
				#b_cheltenham = {}
				#b_st_briavels = {}
			} # end c_gloucester
			c_worcester = { # Worcester (30)
				color = { 250 25 25 }
				color2 = { 255 255 255 }
				norwegian = "Wigreceaster"
				danish = "Wigreceaster"
				swedish = "Wigreceaster"
				anglonorse = "Wigreceaster"
				gothic = "Wigreceaster"
				norse = "Wigreceaster"
				norsegaelic = "Wigreceaster"
				icelandic = "Wigreceaster"
				saxon = "Wigreceaster"
				welsh = "Gaerwrangon"
				cumbric = "Gaerwrangon"
				cornish = "Gaerwrangon"
				breton = "Gaerwrangon"
				irish = "Gaerwrangon"
				scottish = "Gaerwrangon"
				b_worcester = {
					norwegian = "Wigreceaster"
					danish = "Wigreceaster"
					swedish = "Wigreceaster"
					anglonorse = "Wigreceaster"
					gothic = "Wigreceaster"
					norse = "Wigreceaster"
					norsegaelic = "Wigreceaster"
					icelandic = "Wigreceaster"
					saxon = "Wigreceaster"
					welsh = "Gaerwrangon"
					cumbric = "Gaerwrangon"
					cornish = "Gaerwrangon"
					breton = "Gaerwrangon"
					irish = "Gaerwrangon"
					scottish = "Gaerwrangon"
				}
				b_evesham = {
					norwegian = "Eofeshamme"
					danish = "Eofeshamme"
					swedish = "Eofeshamme"
					anglonorse = "Eofeshamme"
					gothic = "Eofeshamme"
					norse = "Eofeshamme"
					norsegaelic = "Eofeshamme"
					icelandic = "Eofeshamme"
					saxon = "Eofeshamme"
				}
				b_droitwich = {
					saxon = "Saltwych"
					anglonorse = "Saltwych"
				}
				b_kidderminster = {
					norwegian = "Chedemynster"
					danish = "Chedemynster"
					swedish = "Chedemynster"
					anglonorse = "Cedeminster"
					gothic = "Chedemynster"
					norse = "Chedemynster"
					norsegaelic = "Chedemynster"
					icelandic = "Chedemynster"
					saxon = "Cedeminster"
					norman = "Chedeminstre"
				}
				#b_pershore = {}
				#b_malvern = {}
				#b_bromsgrove = {
				#	norwegian = "Bremesburh"
				#	danish = "Bremesburh"
				#	swedish = "Bremesburh"
				#	anglonorse = "Bremesburh"
				#	gothic = "Bremesburh"
				#	norse = "Bremesburh"
				#	norsegaelic = "Bremesburh"
				#	icelandic = "Bremesburh"
				#	saxon = "Bremesburh"
				#	norman = "Bremesgrave"
				#}
				#b_feckenham = {
				#	norwegian = "Feccanhom"
				#	danish = "Feccanhom"
				#	swedish = "Feccanhom"
				#	anglonorse = "Feccanhom"
				#	gothic = "Feccanhom"
				#	norse = "Feccanhom"
				#	norsegaelic = "Feccanhom"
				#	icelandic = "Feccanhom"
				#	saxon = "Feccanhom"
				#	norman = "Feccheham"
				#}
				#b_elmey_castle = {}
			} # end c_worcester
			c_hereford = { # Hereford (17)
				color = { 255 60 15 }
				color2 = { 255 255 255 }
				saxon = "Heresforda"
				welsh = "Ergyng"
				cornish = "Ergyng"
				breton = "Ergyng"
				irish = "Ergyng"
				scottish = "Ergyng"
				b_wigmore = {
					norwegian = "Wicgamere"
					danish = "Wicgamere"
					swedish = "Wicgamere"
					anglonorse = "Wicgamere"
					gothic = "Wicgamere"
					norse = "Wicgamere"
					norsegaelic = "Wicgamere"
					icelandic = "Wicgamere"
					saxon = "Wicgamere"
					norman = "Wigemore"
				}
				b_hereford = {
					welsh = "Henffordd"
					cumbric = "Henffordd"
					cornish = "Henffordd"
					breton = "Henffordd"
					irish = "Henffordd"
					scottish = "Henffordd"
					saxon = "Heresforda"
					anglonorse = "Heresforda"
				}
				b_ledbury = {
					norwegian = "Liedeborg"
					danish = "Liedeburgh"
					swedish = "Liedeborg"
					anglonorse = "Liedeburh"
					gothic = "Liedeborg"
					norse = "Liedeborg"
					norsegaelic = "Liedeborg"
					icelandic = "Liedeborg"
					saxon = "Liedeburh"
					norman = "Liedeberge"
				}
				b_clifford = {
					norwegian = "Cliford"
					danish = "Cliford"
					swedish = "Cliford"
					anglonorse = "Clifforda"
					gothic = "Cliford"
					norse = "Cliford"
					norsegaelic = "Cliford"
					icelandic = "Cliford"
					saxon = "Clifforda"
					norman = "Cliford"
				}
				#b_ewyas_harold = {}
				#b_goodrich = {}
				#b_pemridge_castle = {}
				#b_pemridge = {}
				#b_leominster = {
				#	norwegian = "Leomynster"
				#	danish = "Leomynster"
				#	swedish = "Leomynster"
				#	anglonorse = "Leomynster"
				#	gothic = "Leomynster"
				#	norse = "Leomynster"
				#	norsegaelic = "Leomynster"
				#	icelandic = "Leomynster"
				#	saxon = "Leomynster"
				#	welsh = "Llanllieni"
				#	cumbric = "Llanllieni"
				#	cornish = "Llanllieni"
				#	breton = "Llanllieni"
				#	irish = "Llanllieni"
				#	scottish = "Llanllieni"
				#}
			} # end c_hereford
			c_shrewsbury = { # Shrewsbury (66)
				color = { 241 55 25 }
				color2 = { 255 255 255 }
				norwegian = "Scrobbesborg"
				danish = "Scrobbesborg"
				swedish = "Scrobbesborg"
				anglonorse = "Scrobbesburh"
				gothic = "Scrobbesborg"
				norse = "Scrobbesborg"
				norsegaelic = "Scrobbesborg"
				icelandic = "Scrobbesborg"
				saxon = "Scrobbesburh"
				welsh = "Pengwern"
				cumbric = "Pengwern"
				cornish = "Pengwern"
				breton = "Pengwern"
				irish = "Pengwern"
				scottish = "Pengwern"
				b_shrewsbury = {
					norwegian = "Scrobbesborg"
					danish = "Scrobbesburgh"
					swedish = "Scrobbesborg"
					anglonorse = "Scrobbesburh"
					gothic = "Scrobbesborg"
					norse = "Scrobbesborg"
					norsegaelic = "Scrobbesborg"
					icelandic = "Scrobbesborg"
					saxon = "Scrobbesburh"
					cumbric = "Amwythig"
					welsh = "Amwythig"
					cornish = "Amwythig"
					breton = "Amwythig"
					irish = "Amwythig"
					scottish = "Amwythig"
				}
				b_clun = {
					norwegian = "Colun"
					danish = "Colun"
					swedish = "Colun"
					anglonorse = "Colun"
					gothic = "Colun"
					norse = "Colun"
					norsegaelic = "Colun"
					icelandic = "Colun"
					saxon = "Colun"
				}
				b_wenlock = {
					norwegian = "Wenanloca"
					danish = "Wenanloca"
					swedish = "Wenanloca"
					anglonorse = "Wenanloca"
					gothic = "Wenanloca"
					norse = "Wenanloca"
					norsegaelic = "Wenanloca"
					icelandic = "Wenanloca"
					saxon = "Wenanloca"
					norman = "Wenloch"
				}
				b_ludlow = {
					norwegian = "Hlud-Hlaw"
					danish = "Hlud-Hlaw"
					swedish = "Hlud-Hlaw"
					anglonorse = "Hlud-Hlaw"
					gothic = "Hlud-Hlaw"
					norse = "Hlud-Hlaw"
					norsegaelic = "Hlud-Hlaw"
					icelandic = "Hlud-Hlaw"
					saxon = "Hlud-Hlaw"
					norman = "Lodelowe"
					welsh = "Llwydlo"
					cumbric = "Llwydlo"
					cornish = "Llwydlo"
					breton = "Llwydlo"
					irish = "Llwydlo"
					scottish = "Llwydlo"
				}
				#b_whittington = {
				#	norwegian = "Whittingtun"
				#	danish = "Whittingtun"
				#	swedish = "Whittingtun"
				#	anglonorse = "Whittingtun"
				#	gothic = "Whittingtun"
				#	norse = "Whittingtun"
				#	norsegaelic = "Whittingtun"
				#	icelandic = "Whittingtun"
				#	saxon = "Whittingtun"
				#}
				#b_bridgnorth = {
				#	norwegian = "Cwatbridge"
				#	danish = "Cwatbridge"
				#	swedish = "Cwatbridge"
				#	anglonorse = "Cwatbridge"
				#	gothic = "Cwatbridge"
				#	norse = "Cwatbridge"
				#	norsegaelic = "Cwatbridge"
				#	icelandic = "Cwatbridge"
				#	saxon = "Cwatbridge"
				#}
				#b_oswestry = {
				#	welsh = "Croesoswallt"
				#	cornish = "Croesoswallt"
				#	breton = "Croesoswallt"
				#}
				#b_alberbury = {
				#	norwegian = "Alberborg"
				#	danish = "Alberburgh"
				#	swedish = "Alberborg"
				#	anglonorse = "Alberborg"
				#	gothic = "Alberborg"
				#	norse = "Alberborg"
				#	norsegaelic = "Alberborg"
				#	icelandic = "Alberborg"
				#	saxon = "Hlud-Hlaw"
				#}
				#b_moreton_corbet = {
				#	norwegian = "Moretun"
				#	danish = "Moretun"
				#	swedish = "Moretun"
				#	anglonorse = "Moretun"
				#	gothic = "Moretun"
				#	norse = "Moretun"
				#	norsegaelic = "Moretun"
				#	icelandic = "Moretun"
				#	saxon = "Moretun"
				#}
				#b_newport_shropshire = {
				#	norwegian = "Eastun"
				#	danish = "Eastun"
				#	swedish = "Eastun"
				#	anglonorse = "Eastun"
				#	gothic = "Eastun"
				#	norse = "Eastun"
				#	norsegaelic = "Eastun"
				#	icelandic = "Eastun"
				#	saxon = "Eastun"
				#	norman = "Edgmond"
				#}
			} # end c_shrewsbury
			c_warwick = { # Warwick (67)
				color = { 241 60 30 }
				color2 = { 255 255 255 }
				norwegian = "Wæring"
				danish = "Wæring"
				swedish = "Wæring"
				anglonorse = "Wæring"
				gothic = "Wæring"
				norse = "Wæring"
				norsegaelic = "Wæring"
				icelandic = "Wæring"
				saxon = "Wæring"
				b_warwick = {
					norwegian = "Wæring"
					danish = "Wæring"
					swedish = "Wæring"
					anglonorse = "Wæring"
					gothic = "Wæring"
					norse = "Wæring"
					norsegaelic = "Wæring"
					icelandic = "Wæring"
					saxon = "Wæringwic"
				}
				b_coventry = {
					saxon = "Cofestre"
					anglonorse = "Cofestre"
				}
				b_birmingham = {
					norwegian = "Beormingaham"
					danish = "Beormingaham"
					swedish = "Beormingaham"
					anglonorse = "Beormingasham"
					gothic = "Beormingaham"
					norse = "Beormingaham"
					norsegaelic = "Beormingaham"
					icelandic = "Beormingaham"
					saxon = "Beormingasham"
				}
				b_kenilworth = { saxon = "Cynehildesweorc" }
				#b_merevale = {}
				#b_maxstoke = {}
				#b_dudley = {}
				#b_neueaton = {}
				#b_hartshill = {}
			} # end c_warwick
			c_stafford = { # Stafford (1409)
				color = { 255 65 45 }
				color2 = { 255 255 255 }
				norwegian = "Stæffordscir"
				danish = "Stæffordscir"
				swedish = "Stæffordscir"
				anglonorse = "Tomsæte"
				gothic = "Stæffordscir"
				norse = "Stæffordscir"
				norsegaelic = "Stæffordscir"
				icelandic = "Stæffordscir"
				saxon = "Tomsæte"
				welsh = "Swydd Stafford"
				breton = "Swydd Stafford"
				cornish = "Swydd Stafford"
				b_stafford = {
					norwegian = "Stæfford"
					danish = "Stæfford"
					swedish = "Stæfford"
					anglonorse = "Stæfford"
					gothic = "Stæfford"
					norse = "Stæfford"
					norsegaelic = "Stæfford"
					icelandic = "Stæfford"
					saxon = "Stæfford"
				}
				b_leichfield = {
					norwegian = "Liccidfeld"
					danish = "Liccidfeld"
					swedish = "Liccidfeld"
					anglonorse = "Liccidfeld"
					gothic = "Liccidfeld"
					norse = "Liccidfeld"
					norsegaelic = "Liccidfeld"
					icelandic = "Liccidfeld"
					saxon = "Liccidfeld"
				}
				b_tamworth = {
					norwegian = "Tomtun"
					danish = "Tomtun"
					swedish = "Tomtun"
					anglonorse = "Tomtun"
					gothic = "Tomtun"
					norse = "Tomtun"
					norsegaelic = "Tomtun"
					icelandic = "Tomtun"
					saxon = "Tomtun"
				}
				b_wolverhampton = {
					norwegian = "Heantun"
					danish = "Heantun"
					swedish = "Heantun"
					anglonorse = "Heantun"
					gothic = "Heantun"
					norse = "Heantun"
					norsegaelic = "Heantun"
					icelandic = "Heantun"
					saxon = "Heantun"
				}
				#b_burton_upon_trent = {
				#	norwegian = "Burtun"
				#	danish = "Burtun"
				#	swedish = "Burtun"
				#	anglonorse = "Burtun"
				#	gothic = "Burtun"
				#	norse = "Burtun"
				#	norsegaelic = "Burtun"
				#	icelandic = "Burtun"
				#	saxon = "Burtun"
				#}
				#b_tutbury = {
